"Trailer Number","Type Code","Type Description","Terminal/Office","License Plate","State/Province"
"C340-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM1964V","QC"
"C340-10","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RR6502M","QC"
"C340-2","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5348R","QC"
"C340-3","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RN0628V","QC"
"C340-4","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP6904P","QC"
"C340-5","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP8090Y","QC"
"C34053-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM1967V","QC"
"C34053-10","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM1969V","QC"
"C34053-3","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM1966V","QC"
"C34053-4","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT2036K","QC"
"C34053-5","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT6701F","QC"
"C34053-6","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP7076F","QC"
"C34053-7","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM1968V","QC"
"C34053-8","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RE0511N","QC"
"C34053-9","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7641G","QC"
"C340-6","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP3093N","QC"
"C340-7","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP9399X","QC"
"C340-8","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RR6500M","QC"
"C340-9","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RP9401X","QC"
"C440-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RN0833V","QC"
"CM32040-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM5347R","QC"
"CM32040-10","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RT7869L","QC"
